entry_id,source_file,raw_file,raw_size,standard_file,standard_size,bbox_coverage
A-1,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d848283dc8191ba019f76f8bbbdfd.png,A-1_base_raw.png,1774x887,A-1_base_1254x627.png,1254x627,0.755
A-2,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d84dbd4d881919566e103c3b935e6.png,A-2_base_raw.png,1774x887,A-2_base_1254x627.png,1254x627,0.781
A-3,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d855ee85c819193166d85de5b6844.png,A-3_base_raw.png,1774x887,A-3_base_1254x627.png,1254x627,0.669
A-4,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d85bafb7c8191815e48b8175df8cc.png,A-4_base_raw.png,1774x887,A-4_base_1254x627.png,1254x627,0.605
A-5,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d861705c48191be9e3ed4b11f0e82.png,A-5_base_raw.png,1774x887,A-5_base_1254x627.png,1254x627,0.753
A-6,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d866ddc908191806fb60d9495c883.png,A-6_base_raw.png,1774x887,A-6_base_1254x627.png,1254x627,0.685
A-7,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d86bf25f88191b132333b97f2a6b5.png,A-7_base_raw.png,1774x887,A-7_base_1254x627.png,1254x627,0.735
A-8,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d87184dfc8191a645ea8538571987.png,A-8_base_raw.png,1774x887,A-8_base_1254x627.png,1254x627,0.799
A-9,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d8773a7208191844fce3063bd5be7.png,A-9_base_raw.png,1774x887,A-9_base_1254x627.png,1254x627,0.758
A-10,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d8806b3bc8191adcf99739c9a9e79.png,A-10_base_raw.png,1774x887,A-10_base_1254x627.png,1254x627,0.730
A-11,C:\Users\tgch1\.codex\generated_images\019e7cda-80be-7c42-8401-765b342aadb1\ig_02b5ca92d42c3613016a1d887bc9d88191afc55c9b170bc975.png,A-11_base_raw.png,1774x887,A-11_base_1254x627.png,1254x627,0.731
