blind_image_id,top1_guess,top1_confidence,top2_guess,top3_guess,semantic_comment
B-SRQ001,B-24,99,B-25,B-27,"Google Cloud logo and cloud infrastructure panels."
B-SRQ002,B-33,99,B-32,B-31,"Canva logo with design/layout assets."
B-SRQ003,B-8,55,B-4,B-7,"Agentic coding dashboard and robot; no clear logo."
B-SRQ004,B-32,99,B-33,B-31,"Figma logo with collaborative design frames."
B-SRQ005,B-52,96,B-1,B-51,"Gemini logo with tiered plan/pricing cards."
B-SRQ006,B-31,98,B-32,B-33,"Excalidraw-style logo and hand-drawn whiteboard sketches."
B-SRQ007,B-27,92,B-24,B-26,"Vertex AI-like multicolor mark with ML pipeline/dashboard."
B-SRQ008,B-5,99,B-4,B-7,"GitHub Copilot logo and coding assistant workflow."
B-SRQ009,B-51,97,B-50,B-52,"OpenAI logo with pricing comparison table."
B-SRQ010,B-50,99,B-51,B-52,"Claude logo with ascending pricing plan columns."
B-SRQ011,B-1,52,B-8,B-4,"Gemini-like multimodal AI workspace, but logo absent."
B-SRQ012,B-26,72,B-27,B-1,"Managed AI cloud/security architecture with sparkle logo cue."
B-SRQ013,B-4,67,B-7,B-8,"IDE code editor and assistant flow fits Cursor most."
B-SRQ014,B-25,99,B-24,B-26,"Azure logo with cloud hosting architecture."
B-SRQ015,B-7,50,B-8,B-4,"Code agent workflow in IDE; ambiguous among coding assistants."
B-SRQ016,B-6,99,B-4,B-7,"Windsurf logo with coding workflow."
